Nombre,Sinopsis,Año,Duración,Género,Apto,Sonido
Jigsaw: El juego continúa,"Cadáveres se han estado apareciendo por toda la ciudad. Conforme la investigación avanza, las evidencias indican hacia un hombre: John Kramer. Pero ¿cómo puede ser esto? El hombre conocido como Jigsaw ha estado muerto por más de diez años.",2017,91 MIN,DE TERROR,SAM16,SONIDO ENVOLVENTE 5.1
La maldición de Blackwood,"Cinco adolescentes emocionalmente frágiles son enviadas a Blackwood, una misteriosa escuela para niñas superdotadas y perturbadas.",2018,96 MIN,"DRAMA, FANTASÍA",SAM13,SONIDO ENVOLVENTE 5.1
Father Figures,"Dos hermanos mellizos crecieron pensando que su padre había muerto, pero descubren que está vivo y emprenden un viaje para encontrarlo. No será sencillo, ya que su madre se acostó con muchos hombres poderosos y famosos en la década de 1970.",2017,112 MIN,COMEDIA,SAM16,SONIDO ENVOLVENTE 5.1
Si Solo Pudiera Imaginar,"Bart Millard es el líder de la banda cristiana MercyMe, que pierde a su padre por un cáncer. Este trágico suceso le inspira a escribir una canción que tiene gran éxito llamada I Can Only Imagine y en la que se inspira está dramática historia.",2018,110 MIN,"DRAMA, FAMILIAR",ATP,SONIDO ENVOLVENTE 5.1
Testigo de cargo,"La historia está ambientada en el Londres de la década de 1920 y se centra en un asesinato, ""brutal y sanguinario"", que ha ""manchado las lujosas alfombras de una hermosa casa de Londres"".",2017,117 MIN,"CRIMEN, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
Querido Santa Secreto,"Tatyana Ali estelariza en esta película llena de estrellas, incluyendo a Jordin Sparks, Ernie Hudson y Della Reese. ¡Es un reconfortante romance navideño!",2013,89 MIN,"NAVIDEÑA, DRAMA",ATP,ESTÉREO
La Cumbre Escarlata,"Cuando un extraño seductor le roba el corazón, una joven mujer se deja llevar hasta una casa en la cima de una montaña de arcilla color rojo sangre, un lugar lleno de secretos que la perseguirán por siempre.",2015,118 MIN,"DRAMA, DE TERROR",SAM16,SONIDO ENVOLVENTE 5.1
The Dresser,"En esta historia perversamente divertida y conmovedora, Sir reflexiona sobre sus logros y busca reconciliar sus turbulentas amistades con sus empleados antes del telón final.",2015,109 MIN,"DRAMA, LITERARIA",SAM13,ESTÉREO
The Grudge 2,Una joven mujer (Amber Tamblyn) descubre una terrible maldición mientras busca a su hermana (Sarah Michelle Gellar) desaparecida en Tokio.,2006,102 MIN,"DE TERROR, SUSPENSO",SAM13,ESTÉREO
El grito,Karen es una enfermera estadounidense que vive en Tokio y está expuesta a una misteriosa maldición sobrenatural. La maldición es un espíritu vengativo que posee a una persona en una rabia poderosa antes de reclamar su vida.,2004,91 MIN,"SUSPENSO, MISTERIO/SUSPENSO",SAM13,SONIDO ENVOLVENTE 5.1
Halloween II,"El desquiciado asesino Michael Myers regresa, y está mucho más decidido a asesinar a Laurie Strode. Mientras tanto, ella intenta descubrir la verdad de sus ansias de matarla, y finalmente descubre un secreto impactante.",1981,92 MIN,DE TERROR,SAM16,ESTÉREO
Halloween III: El imperio de las brujas,Un malvado fabricante de juguetes planea vender millones de máscaras que matarán a todos los niños que las usen la noche de Halloween.,1982,97 MIN,"DE TERROR, MISTERIO",SAM16,ESTÉREO
El traidor,"Cuando el honesto agente del FBI, Roy Clayton (Guy Pearce de MEMENTO) encabeza la investigación de una peligrosa conspiración internacional, todas las pistas apuntan al exoficial de Operaciones Especiales de EE. UU., Samir Horn (Don Cheadle de CRASH).",2008,114 MIN,"ACCIÓN, CRIMEN",SAM13,ESTÉREO
A conseguir trabajo,"Cuando Will se queda sin trabajo y a Jillian la despiden, la joven pareja y sus amigos deben soportar la humillación pública, novatadas y pruebas de dopaje sorpresa para poder iniciar sus carreras como principiantes.",2016,82 MIN,"COMEDIA, COMEDIA ROMÁNTICA",SAM13,SONIDO ENVOLVENTE 5.1
Empire State el gran robo del Bronx,"Un guardia de seguridad es convencido por su imprudente mejor amigo de robar la compañía para la cual trabaja, junto a una violenta banda criminal y un duro detective en su camino...¿Podrán escaparse de la cárcel o de un destino peor?",2013,94 MIN,"ACCIÓN, CRIMEN",SAM16,ESTÉREO
No Hay Nada Como las Fiestas,Los distantes miembros de la familia Rodriguez se unen en la casa de sus padres para enfrentar lo que podría ser su última Navidad juntos en esta conmovedora comedia navideña.,2008,98 MIN,"NAVIDEÑA, COMEDIA",SAM13,ESTÉREO
Enemigo invisible,"La coronel Katherine Powell dirige una misión secreta de drones para capturar a un grupo de terroristas que vive en una casa de seguridad en Narobi, Kenia. La situación escala de nivel cuando el piloto del drone se dirige a atacar se percata que una niña de 9 años entra en la zona de muerte. Powell contacta a sus superiores para tomar la dificil desición de seguir o detener la operación.",2016,102 MIN,"DRAMA, MISTERIO/SUSPENSO",SAM16,SONIDO ENVOLVENTE 5.1
Se Dice De Mi,"Cuando se descubre su mentirita blanca de que perdió la virginidad, una chica simple de la secundaria (Emma Stone) ve un paralelo con su vida en ""La letra escarlata"" de Hester Prynne, que está estudiando en la escuela, hasta que decide utilizar la usina de rumores para avanzar en su posición social y financiera.",2010,92 MIN,COMEDIA,SAM13,SONIDO ENVOLVENTE 5.1
Traficantes por error,"Donald Faison protagoniza como un repartidor desafortunado que se encuentra en el centro de un negocio de drogas que salió horriblemente mal en Traficantes por Error, una comedia de acción estruendosa con un elenco de estrellas.",2009,84 MIN,"ACCIÓN, COMEDIA",SAM16,ESTÉREO
La última puerta,Johnny Depp es contratado por un fiel satánico que se hace pasar por un erudito de la demonología para localizar dos escasos volúmenes de una invocación satánica.,1999,133 MIN,"SOBRENATURAL, ACCIÓN",SAM16,ESTÉREO
Baile caliente,"En 1963, Baby, de 17 años está de vacaciones con su familia en un centro turístico de la montaña cuando se siente atraída a los cuarteles del personal y su agitada música. Allí conoce a Johnny y se enamoran a pesar de las advertencias de todos.",1987,100 MIN,"DANZA, DRAMA",SAM13,ESTÉREO
Rápido y fogoso,"Un adolescente desesperado por perder su virginidad convence a sus amigos de ir en un viaje por carretera con él para conocer a una chica que conoció en línea, pero el viaje pronto resulta en una serie de contratiempos hilarantes.",2008,109 MIN,"COMEDIA, ROMÁNTICA",SAM16,SONIDO ENVOLVENTE 5.1
Noche de brujas,"En Halloween, Michael Myers aterroriza a una adolescente y sus amigos.",1978,91 MIN,DE TERROR,SAM16,ESTÉREO
Capitán Phillips,El capitán Richard Phillips intenta escapar de piratas armados somalíes mientras que la Marina de los Estados Unidos trata de rescatarlo.,2013,134 MIN,"DRAMA, HISTORIA REAL",SAM13,SONIDO ENVOLVENTE 5.1
American Pie: Tu primera vez,"¡Jamás volverá a ver un pastel de manzana igual! ""American Pie"" es una visión histérica de la meta de cuatro amigos de secundaria ""desafortunados en el amor"" que hacen el pacto final: perder la virginidad la noche del baile de graduación.",1999,95 MIN,"COMEDIA, COMEDIA ROMÁNTICA",SAM16,SONIDO ENVOLVENTE 5.1
Laws Of Attraction,"Dos exitosos abogados rivales de Nueva York se enamoran, a pesar de sostener una batalla en dos casos de divorcio.",2004,90 MIN,"COMEDIA, ROMÁNTICA",SAM13,ESTÉREO
Triple X,"Un atleta de deportes extremos, Xander Cage, es reclutado por el gobierno en una misión especial.",2002,124 MIN,ACCIÓN,SAM13,SONIDO ENVOLVENTE 5.1
Un Santa No Tan Santo,"Willie, un Santa acabado y bromista de un centro comercial que sólo trabaja por las oportunidades criminales. Este año, Santa y su elfo ven su asalto anual en peligro debido a un inadaptado de ocho años quien decide creer que Willie es el Santa verdadero.",2003,99 MIN,"NAVIDEÑA, COMEDIA",SAM16,SONIDO ENVOLVENTE 5.1
Cuenta regresiva,"Un maestro abre una cápsula del tiempo que ha sido desenterrada en la escuela primaria de su hijo, en ella hay algunas predicciones escalofriantes, algunas que ya han ocurrido y otras que están a punto de ocurrir, que le llevan a creer que su familia juega un papel en los acontecimientos que están a punto de desarrollarse.",2009,121 MIN,"ACCIÓN, DRAMA",SAM13,ESTÉREO
Xxx 2: Estado de emergencia,"En esta secuela llena de acción del éxito de taquilla xXx, Ice Cube interpreta a Darius Stone, un alborotador que busca emoción cuyos antecedentes penales y su obsesión por los deportes extremos lo convierten en el agente xXx más reciente.",2005,100 MIN,"ACCIÓN, DE AVENTURAS",SAM16,SONIDO ENVOLVENTE 5.1
Una vida por delante,"Un ranchero (Robert Redford) de Wyoming le da refugio a su sufrida nuera (Jennifer Lopez), cuyas heridas tardan un buen tiempo en sanar.",2005,107 MIN,"DRAMA, FAMILIAR",SAM13,ESTÉREO
Mi nombre es Tsotsi,"Un criminal convertido en asesino se da cuenta de que la mujer que asesinó dejó un bebé en el asiento trasero de su coche, y pronto se vuelve más apegado a él de lo que nunca pensó posible.",2005,94 MIN,"CRIMEN, DRAMA",SAM16,ESTÉREO
Crepúsculo,"Una adolescente con problemas se muda con su padre a un pequeño pueblo aislado. Ella se enamora de un misterioso solitario con un secreto impactante, ¿podría tener algo que ver con los asesinatos locales que han comenzado a tener lugar?",2008,121 MIN,"DRAMA, FANTASÍA",SAM13,SONIDO ENVOLVENTE 5.1
RED: Retirados Extremadamente Duros,"Cuando un agente retirado de la CIA es el objetivo de un asesino mortal, llama a sus viejos amigos del trabajo en un intento de conocer la verdad mientras se mantiene alejado de las garras del misterioso enemigo.",2010,111 MIN,"ACCIÓN, COMEDIA",SAM13,SONIDO ENVOLVENTE 5.1
Dredd,"Una prostituta convertida en narcotraficante pretende apoderarse de la futurista ciudad de Mega City One. El juez Dredd, el principal miembro de una fuerza policial de élite, es la última esperanza de la ciudad.",2012,95 MIN,"ACCIÓN, CIENCIA FICCIÓN",SAM16,SONIDO ENVOLVENTE 5.1
Los juegos del hambre: Sinsajo - El final,"Jennifer Lawrence interpreta a Katniss Everdeen, que comenzó su viaje luchando por sobrevivir a los despiadados Juegos del Hambre, y dirigió la rebelión contra el tiránico presidente de Panem (Donald Sutherland).",2015,136 MIN,"ACCIÓN, CIENCIA FICCIÓN",SAM13,SONIDO ENVOLVENTE 5.1
Divergente,"En el futuro, una adolescente aprende que es una ""Divergente"". Cuando se entera del complot de un malvado líder para asesinar a todos los divergentes se embarca en una búsqueda frenética para saber la verdad sobre sí misma.",2014,139 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Decisión final,"En el día del Draft de la NFL, el gerente general de los Cafés de Cleveland debe decidir que es lo que está dispuesto a sacrificar mientras busca al seleccionado número uno.",2014,109 MIN,"DRAMA, DEPORTES",SAM13,ESTÉREO
De Tyler Perry: El club de las madres solteras,"Cinco madres solteras en problemas dejan de lado sus diferencias para formar un grupo de apoyo, hallan inspiración y humor en su nueva hermandad y se ayudan mutuamente para superar los obstáculos que enfrentan.",2014,111 MIN,"COMEDIA, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
De Tyler Perry Tentación: Confesiones de una consejera matrimonial,"Judith es una mujer trabajadora que está en un matrimonio amoroso pero sin pasión. Conoce a un hombre atractivo y extremadamente rico que la seduce para embarcarse en un amorío candente, pero después de que las cosas toman una serie de giros dramáticos ella encuentra que su vida cambió para siempre.",2013,111 MIN,"DRAMA, ROMÁNTICA",SAM16,SONIDO ENVOLVENTE 5.1
Tyler Perry's A Madea Christmas,"A Madea la engatusan para ayudar a una amiga para hacer una visita sorpresa durante la Navidad, a su hija que vive en el campo. Pero la sorpresa mayor es lo que se llevan ellas cuando llegan. Mientras el pueblo se prepara para su fiesta navideña anual, se revelan nuevos secretos y se ponen a prueba viejas amistades entre tanto Madea les sirve a todos su propia marca de espíritu navideño.",2013,99 MIN,"NAVIDEÑA, COMEDIA",SAM13,SONIDO ENVOLVENTE 5.1
El gringo,Un hombre es emboscado en una ciudad fronteriza mexicana llena de gángsters con una bolsa llena de dinero robado y debe encontrar la manera de mantenerse con vida hasta que pueda salir.,2012,98 MIN,ACCIÓN,SAM16,SONIDO ENVOLVENTE 5.1
Fenómeno siniestro 2,"Un año después de que un equipo de filmación pasara una noche fatal en el Hospital Psiquiátrico Collingwood, un nuevo equipo vuelve a los pasillos en busca de la verdad. Es decir, si queda alguien vivo para contarlo.",2012,99 MIN,DE TERROR,SAM16,ESTÉREO
Lo imposible,"Esta película aclamada por la por Naomi Watts y Ewan McGregor está basada en la verdadera historia de una familia atrapada en una de las peores catástrofes naturales de nuestro tiempo, el tsunami del 2004, que devastó el sudeste asiático.",2012,113 MIN,"DRAMA, MISTERIO/SUSPENSO",SAM13,SONIDO ENVOLVENTE 5.1
Sin escalas,Un Comisario aéreo usa su astucia con un terrorista americano amargado que amenaza con matar a un pasajero cada 20 minutos a menos que el Comisario se suicide.,2014,106 MIN,ACCIÓN,SAM13,SONIDO ENVOLVENTE 5.1
Los ilusionistas: Nada es lo que parece,"Un thriller de misterio protagonizado por Mark Ruffalo y Woody Harrelson. Cuatro magos talentosos son sacados del anonimato para convertirse en los Cuatro Jinetes, un grupo de ilusionistas de escenario que pronto atraerán la atención del FBI.",2013,115 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Las ventajas de ser invisible,"Drama protagonizado por Emma Watson y Ezra Miller, basado en la novela de Stephen Chbosky. Charlie siempre ha sido un introvertido, pero es forzado a salir de las sombras cuando conoce a Sam y a su hermanastro amante de la aventura Patrick. Juntos, el trío inicia un viaje de descubrimiento mientras exploran el amor, la sexualidad, la música y las fiestas salvajes.",2012,102 MIN,"DRAMA, ROMÁNTICA",SAM13,SONIDO ENVOLVENTE 5.1
Tropa de élite,"Antes de la llegada del Papa a Rio de Janeiro, el Capitán Nascimento de la fuerza BOPE quiere salir de la corporación para dedicarse a enseñar en la academia y poder atender a su esposa embarazada, por lo que debe encontrar un sustituto para su puesto.",2007,115 MIN,"ACCIÓN, CRIMEN",SAM16,ESTÉREO
Repugnante,"Un oficial de policía drogadicto planea arruinar las posibilidades de ascenso de sus colegas por cualquier medio, incluyendo contar secretos y seducir a sus esposas. Basado en la novela de Irvine Welsh.",2014,97 MIN,DRAMA,SAM13,ESTÉREO
Halloween 4: el regreso de Michael Myers,"Hace diez años, cambió la manera de vivir el día de brujas. Esta noche...¡él está de vuelta!",1988,88 MIN,DE TERROR,SAM16,ESTÉREO
Halloween 5: la venganza de Michael Myers,"Los ciudadanos de Haddonfield, Illinois, están a punto de soportar la venganza de Michael Myers, ya que el presunto asesino muerto ha vuelto para a matar de nuevo. Protagonizada por Donald Pleasance y Danielle Harris.",1989,97 MIN,DE TERROR,SAM16,ESTÉREO
Pasión inocente,"Megan, una esposa y madre, decide que la familia debe acoger a la estudiante de intercambio, Sophie.",2014,97 MIN,"DRAMA, ROMÁNTICA",SAM16,SONIDO ENVOLVENTE 5.1
Crímenes ocultos,Un agente soviético caído en desgracia descubre una conexión entre una serie de asesinatos infantiles y el líder de un partido. Those who seek the truth will be silenced. Basada en una novela de Tom Rob Smith.,2015,137 MIN,"CRIMEN, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
Dioses de Egipto,"Bek, un héroe mortal, se une al dios Horus en una alianza contra Set, el despiadado dios de las tinieblas, que ha usurpado el trono de Egipto, sumiendo a un imperio que una vez fue pacífico y próspero en el caos y el conflicto.",2016,127 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Punto ciego,Los amigos de toda la vida Daveed Diggs y Rafael Casal coescribieron y protagonizaron esta entretenida historia sobre las interacciones de las razas y clases en una Oakland en rápido crecimiento.,2018,95 MIN,"COMEDIA, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
El contratista,"Elizabeth Chase es una esposa comprensiva y una madre amorosa. Su trabajo en uno de los principales hospitales infantiles de Los Ángeles la tiene bastante ocupada estos días. Además, la crianza de su hija McKenzie, consume todo su tiempo.",2013,88 MIN,SUSPENSO,SAM13,SONIDO ENVOLVENTE 5.1
Ladrones,El legendario ladrón Alejandro Toledo regresa a sus raíces con un nuevo socio para reclamar tierras robadas a una comunidad humilde por una despiadada familia de ladrones.,2015,97 MIN,"ACCIÓN, COMEDIA",SAM13,SONIDO ENVOLVENTE 5.1
Crímenes de lujuria,"Rebeca y Arturo encuentran pasión el uno en el otro - y quizá hasta el amor. Pero sobre todo, tienen una oportunidad: Rebeca quiere asesinar a su esposo y cobrar el seguro, mientras que Arturo podrá poseer a la mujer de sus sueños y todo su dinero.",2011,89 MIN,ROMÁNTICA,SAM16,SONIDO ENVOLVENTE 5.1
