Nombre,Sinopsis,Año,Duración,Género,Apto,Sonido
El sorprendente Hombre-Araña 2 - La amenaza de Electro,"Ser el Hombre Araña (Andrew Garfield) es genial. Para Peter Parker, no hay mejor sensación que columpiarse entre rascacielos, ser el héroe y pasar el tiempo con Gwen (Emma Stone).",2014,141 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Mamma Mia!,"Donna, una madre independiente y soltera, dueña de un pequeño hotel en una idílica isla griega, está a punto de dejar que se marche Sophie, la hija a la que ha criado sola.",2008,108 MIN,"MUSICAL, COMEDIA",ATP,SONIDO ENVOLVENTE 5.1
John Wick 2: Un nuevo día para matar,"En esta secuela del éxito de 2014, el legendario asesino John Wick (Keanu Reeves) se ve obligado a salir del retiro por un ex-asociado que planea obtener el control de un misterioso grupo internacional de asesinos. Obligado a ayudarlo por un juramento de sangre, John emprende un viaje a Roma lleno de adrenalina estremecedora para pelear contra los asesinos más peligrosos del mundo.",2017,122 MIN,ACCIÓN,SAM16,SONIDO ENVOLVENTE 5.1
Más fuerte que el destino,"Más Fuerte que el Destino está inspirada en la historia de Jeff Bauman, un hombre ordinario quien capturó los corazones del mundo, para convertirse en un símbolo de esperanza, después de la infame explosión de bomba del Maratón de Boston del 2013.",2017,118 MIN,DRAMA,SAM16,SONIDO ENVOLVENTE 5.1
Oscura seducción,"Una cirujana plástica exitosa se embarca en una aventura apasionada con un enfermero, solo para descubrir el lado oscuro de su personalidad que alcanza niveles aterradores cuando ella se ve obligada a terminar su relación.",2011,89 MIN,ROMÁNTICA,SAM16,SONIDO ENVOLVENTE 5.1
Spider-Man: De regreso a casa,Un joven Peter Parker/Hombre Araña comienza a navegar la nueva identidad encontrada como el superhéroe lanzador de la web.,2017,133 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Jumanji: En la selva,"Cuatro adolescentes en detención descubren una vieja consola de videojuegos con un juego del que nunca han escuchado. Cuando deciden jugar, son inmediatamente succionador hacia la jungla de Jumanji, convertidos en sus avatares.",2017,119 MIN,"COMEDIA, FAMILIAR",SAM13,SONIDO ENVOLVENTE 5.1
El Karate Kid,"Un adolescente aprende sobre la vida, la amistad y el coraje bajo la guía de un maestro de artes marciales.",1984,126 MIN,"ACCIÓN, DE AVENTURAS",ATP,SONIDO ENVOLVENTE 5.1
La enfermera,"Durante el día, la enfermera Abby Russell se ocupa con cariño de los pacientes de All Saints Memorial Hospital; durante la noche, merodea por los clubes nocturnos, seduciendo a hombres infieles a tener relaciones peligrosas.",2014,83 MIN,"ERÓTICA, DE TERROR",SAM16,ESTÉREO
Anna Karenina,"La historia explora con fuerza la capacidad de amar del corazón humano. Anna (Knightley) duda de su felicidad y de su matrimonio, y los cambios se suceden a su alrededor.",2012,129 MIN,"DRAMA, ROMÁNTICA",SAM16,SONIDO ENVOLVENTE 5.1
12 Horas,"Hace un año, Jill Parrish sobrevivió al secuestro de un asesino en serie. Cuando llega a casa luego de un turno nocturno descubre que su hermana Molly ha sido secuestrada, y está convencida de que el mismo asesino en serie ha vuelto por su hermana.",2012,94 MIN,"DRAMA, THRILLER PSICOLÓGICO",SAM13,SONIDO ENVOLVENTE 5.1
Elizabeth: La edad de oro,"Cate Blanchett y Geoffrey Rush protagonizan esta emocionante historia de la lucha de una mujer para controlar el amor, aplastar a sus enemigos y consolidarse en el trono de Inglaterra.",2007,114 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
La reina,Hellen Mirren ganó el Oscar a Mejor Actriz en 2006 por su brillante retrato de la Reina Isabel cuando lidiaba con la trágica muerte de la Princesa Diana.,2006,103 MIN,"BIOGRÁFICA, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
47 Ronin,"Después de que un traicionero caudillo mate a su señor y los destierre, 47 intrépidos samuráis juran vengarse y recobrar el honor de los suyos.",2013,118 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
El duende 2,"Hace mil años, un duende malvado se frustra al intentar atrapar a una joven novia. Ahora, en 1994 en Los Ángeles, el duende está decidido a tomar a la hermosa descendiente de la mujer como su novia y dejará un rastro de carnicería haciéndolo.",1994,85 MIN,"COMEDIA, FANTASÍA",SAM16,ESTÉREO
La novia de mi mejor amigo,Tank (Dane Cook) se enfrenta a la mayor prueba de amistad posible cuando su mejor amigo (Jason Biggs) lo contrata para que llevé a su ex novia (Kate Hudson) a una pésima cita con el fin de que note lo gran novio que es él.,2008,100 MIN,"COMEDIA, ROMÁNTICA",SAM16,SONIDO ENVOLVENTE 5.1
Cartas a Julieta,"Mientras está de vacaciones en Verona, Sophie se encuentra con una ""carta a Julieta"" y se embarca en una misión para encontrar a su autor.",2010,105 MIN,"COMEDIA, DRAMA",ATP,SONIDO ENVOLVENTE 5.1
Son como niños 2,"La secuela de Son como niños. Después de mudarse con su familia de regreso a su ciudad natal para estar con sus amigos y sus hijos, Lenny, descubre que entre los antiguos y los nuevos bravucones,conductores de autobús esquizofrénicos, policías borrachos sobre esquís y 400 colados a una fiesta de disfraces, a veces ocurren situaciones locas.",2013,100 MIN,"SECUELA, COMEDIA",SAM13,SONIDO ENVOLVENTE 5.1
Siniestro,"Un autor se muda con su familia a una casa con un pasado oscuro con la esperanza de encontrar inspiración. Sin embargo, después de descubrir un conjunto de cintas de vídeo escalofriantes en la casa, se hace evidente que están en grave peligro.",2012,110 MIN,"DE TERROR, MISTERIO",SAM16,SONIDO ENVOLVENTE 5.1
Después Del Sexo,"¿De qué hablamos cuando el sexo termina? Conoce a ocho parejas -heterosexuales y gays, vírgenes y extraños, amantes, mentirosos, engañadores y swingers.",2007,77 MIN,"COMEDIA, DRAMA",SAM16,ESTÉREO
El último cazador de brujas,El último cazador de brujas es la única barrera entre la humanidad y las fuerzas combinadas de las más terribles brujas de la historia.,2015,106 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Horizonte profundo,"Horizonte profundo es una historia llena de heroísmo y acción, basada en los hechos reales que sucedieron en la plataforma de Deepwater Horizon en el Golfo de México en 2010. La historia narra la valentía de los trabajadores de la plataforma y los momentos de coraje. En esta batalla de supervivencia durante lo que se convertía en uno de los mayores desastres naturales hechos por el hombre.",2016,107 MIN,"ACCIÓN, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
Dulce venganza,"Este remake del clásico de 1978 del mismo nombre, cuenta la historia de una mujer que es brutalmente violada y asaltada por cuatro hombres, sobrevive, y toma la ley en sus propias manos buscando venganza contra sus atacantes.",2010,108 MIN,"DE TERROR, MISTERIO/SUSPENSO",SAM16,ESTÉREO
Maria Antonieta La Reina Adolescente,"La historia de Marie-Antoinette, una ingenua austriaca de 14 años que se casó con Luís XVI sin estar preparada para los problemas políticos de ser la Reina de Francia durante la Revolución Francesa.",2006,122 MIN,DRAMA,SAM13,SONIDO ENVOLVENTE 5.1
Whiplash: Música y obsesión,"El objetivo de Andrew Neiman, un joven y ambicioso baterista de jazz, es triunfar en el elitista Conservatorio de Música de la Costa Este en el que estudia. Marcado por el fracaso de la carrera literaria de su padre, Andrew alberga sueños de grandeza.",2014,106 MIN,"MÚSICA, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
Una esposa de mentira,Un hombre recurre a una mujer y a sus hijos para conquistar a la mujer de sus sueños.,2011,116 MIN,"COMEDIA, ROMÁNTICA",SAM13,SONIDO ENVOLVENTE 5.1
Crepúsculo La Saga: Amanecer - Parte 1,"Drama de fantasía protagonizada por Robert Pattinson y Kristen Stewart. Después de regresar de su Luna de miel, Bella y Edward se sorprenden al descubrir que están esperando un bebé. Las cosas pronto empeorarán, ya que el embarazo pone en riesgo la salud de Bella y la manada de lobos, que ven al niño por nacer como una amenaza, complotan para asegurar que no llegue a la edad adulta.",2011,117 MIN,"DE AVENTURAS, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
Zombie,"Después del apocalipsis zombie, la sobreviviente Julie es rescatada de un ataque de zombies por R, quién también es uno de los muertos vivientes. Sin embargo, a medida que su relación se desarrolla, R aparentemente comienza a volverse humano de nuevo.",2013,97 MIN,"COMEDIA, DE TERROR",SAM13,SONIDO ENVOLVENTE 5.1
Si no despierto,"Samantha Kingston (Zoey Deutch), una preparatoriana a punto de graduarse, que lo tiene todo. El 12 de Febrero es sólo otro venturoso día en la vida de Sam hasta que se ve atascada reviviéndolo inexplicablemente durante una semana.",2017,98 MIN,DRAMA,SAM13,SONIDO ENVOLVENTE 5.1
Hellraiser: Juicio,Tres detectives intentan resolver un asesinato diabólico que los arrastra a las profundidades del infierno en esta próxima edición de la clásica serie HELLRAISER.,2018,81 MIN,DE TERROR,SAM16,SONIDO ENVOLVENTE 5.1
Día del atentado,La historia del bombardeo de la maratón de Boston del 2013 y la búsqueda de personas en la ciudad para encontrar a los terroristas responsables.,2016,133 MIN,"ACCIÓN, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
Un paso adelante,"Tyler Gage (Channing Tatum) creció en las duras calles de Baltimore. Un roce con la ley obliga a Tyler a realizar servicio comunitario en la Escuela de artes de Maryland de la ciudad. Allí conoce a Nora(Jenna Dewan), la primera bailarina de la escuela, y toda su vida toma un giro drástico.",2006,103 MIN,"CRIMEN, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
Dulce venganza 2,"Del director de la aclamada remake del 2010, este nuevo episodio impactante muestra a una modelo brutalizada que sobrevive para buscar su venganza. Protagonizada por Jemma Dallender y Joe Absolom.",2013,106 MIN,DE TERROR,SAM16,ESTÉREO
Pandillas de Nueva York,"Tras años de encarcelamiento, el joven inmigrante irlandés Amsterdam Vallon (Leonardo DiCaprio) regresa, buscando venganza contra el líder de la pandilla rival que asesinó a su padre, William Cutting alias ""Bill el Carnicero"".",2002,166 MIN,"CRIMEN, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
Crank: muerte anunciada,"Hoy es el último día de la vida del asesino a sueldo Chev Chelios. Le suministraron un veneno que lo matará si permite que su corazón se estabilice a un ritmo normal. Para mantenerse con vida y vengarse, Chev debe mantener su adrenalina elevada de cualquier manera posible.",2006,87 MIN,"ACCIÓN, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
Plan de escape,"Ray Breslin, una de las principales autoridades del mundo en materia de seguridad estructural, acepta asumir un trabajo poco ortodoxo: salir de una instalación ultra secreta y de alta tecnología llamada la Tumba. Cuando acepta, se inserta en la prisión más secreta y segura del mundo, y necesitará la ayuda de un compañero preso llamado Emil Rottmayer.",2013,115 MIN,ACCIÓN,SAM16,SONIDO ENVOLVENTE 5.1
Dura verdad,"Durante su viaje en velero por España, una familia entera es secuestrada. Ahora, un joven de Wall Street debe enfrentar a las personas responsables: agentes de inteligencia del gobierno que buscan recuperar un maletín misterioso.",2012,93 MIN,"ACCIÓN, MISTERIO/SUSPENSO",SAM13,ESTÉREO
El Príncipe y yo,"Paige es una estudiante de medicina brillante de un pueblo rural con grandes planes para su futuro. Sin embargo, estos planes quedan en un segundo plano cuando conoce a Eddie, un estudiante de Dinamarca del que se enamora.",2004,110 MIN,"COMEDIA ROMÁNTICA, ADOLESCENTE",ATP,ESTÉREO
La maldición de la casa Winchester,"El bebé y el marido (William Wirt Winchester) de Sarah Winchester, heredera de la compañía de rifles Winchester, mueren repentinamente. Debido a ello, cree estar maldita por toda la muerte causada por los rifles, por lo que acude a una médium, quien le aconseja construirse una casa en San José, California, la cual nunca debe finalizarse, para que los espíritus que regresan no puedan hallarla.",2018,99 MIN,"BIOGRÁFICA, FANTASÍA",SAM13,SONIDO ENVOLVENTE 5.1
Dune,Ésta es la saga del guerrero Intergaláctico Paul Atreides y su ascenso mesiánico para conducir a su pueblo en su lucha por la supervivencia.,1984,136 MIN,"DE CULTO, DRAMA",SAM13,ESTÉREO
El Justiciero,Un ex-comando sale del retiro y pone sus habilidades especiales a trabajar para rescatar a una chica que está bajo el control de unos criminales rusos. What do you see when you look at me? Basada en la serie de televisión.,2014,131 MIN,"ACCIÓN, DRAMA",SAM16,SONIDO ENVOLVENTE 5.1
Los mensajeros,"Una siniestra oscuridad invade una serena granja de girasoles en Dakota del Norte, y la familia Solomon está destrozada por la sospecha, el caos y el asesinato.",2007,90 MIN,"DRAMA, DE TERROR",SAM13,ESTÉREO
Jerry Maguire: Amor y desafio,"Tom Cruise hace su mejor actuación hasta la fecha (Neil Rosen, NY-1) como representante deportivo que de repente descubre sus escrúpulos y en consecuencia pierde su trabajo.",1996,138 MIN,"COMEDIA ROMÁNTICA, ROMÁNTICA",SAM13,SONIDO ENVOLVENTE 5.1
La redada,"En el corazón de la poblada ciudad de Jakarta está el escondite de una pandilla de traficantes. Antes de amanecer un escuadrón de S.W.A.T llega para atrapar al líder, pero cuando la noticia de la redada se esparce, los habitantes del edificio no se detendrán para impedir el asalto y el escuadrón deberá encontrar la salida en la misión más mortal que jamás hayan tenido",2012,101 MIN,"ACCIÓN, CRIMEN",SAM16,SONIDO ENVOLVENTE 5.1
Apariciones,"Extraños y aterradores sucesos rodean a una familia (Donald Sutherland, Sissy Spacek, Rachel Hurd-Wood) en el estado de Tennessee de 1817 luego de que un ciudadano maldijera al padre. Possession knows no bounds. Basada en el libro de Brent Monahan.",2005,90 MIN,"DRAMA, HISTÓRICA",SAM16,ESTÉREO
2012,"El mundo se enfrenta a una catástrofe de proporciones apocalípticas, las ciudades quedan destruidas y los continentes se desmoronan. En el año 2012 llega el fin del mundo y la heroica lucha de los supervivientes.",2009,157 MIN,"ACCIÓN, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
Belly,Dos mafiosos tienen una epifanía.,1998,95 MIN,"CRIMEN, DRAMA",SAM16,ESTÉREO
Open Water,"Dan y Susan están extáticos de estar finalmente en sus tan anticipadas vacaciones tropicales en el Caribe. Sin embargo, después de un error cometido por el personal de su barco, la pareja se queda sola en medio del océano, y su terrible experiencia pronto se convierte en una pesadilla cuando los tiburones comienzan a aparecer. Inspirada en una historia real.",2003,79 MIN,"DRAMA, DE TERROR",SAM16,ESTÉREO
Pánico en altamar,"Un grupo de viejos amigos se encuentran para una reunión a bordo de un yate de lujo, pero el evento se convierte en una pesadilla cuando se lanzan al mar a nadar sin primero bajar la escalera.",2006,94 MIN,"DE AVENTURAS, DRAMA",SAM16,ESTÉREO
Rapture-Palooza,"Después de que el apocalipsis sucede, Lindsey y su novio Ben están entre los que quedaron en la tierra. Las cosas toman un giro aún peor cuando el Anticristo se acerca, y vuelve su atención hacia Lindsey. Decidido a escapar de sus garras y la posibilidad de convertirse en su esposa, la pareja se embarcará en una misión para encontrar una manera de derrotarlo de una vez por todas.",2013,84 MIN,"COMEDIA, FANTASÍA",SAM16,SONIDO ENVOLVENTE 5.1
Caracortada,"Cuando Fidel Castro abrió la frontera para que los cubanos que tuviesen familia en Miami pudieran salir, 125 mil personas salieron de Cuba con sueños de libertad y de una nueva vida.",1983,169 MIN,"ACCIÓN, CRIMEN",SAM16,ESTÉREO
De Tyler Perry: ¿Por qué nos casamos?,"Un grupo de amigos universitarios casados van a Colorado para su reunión anual de una semana. Superficialmente, parece que será como todas las reuniones anteriores que han tenido a lo largo de los años, pero el ánimo cambia cuando la infidelidad de una pareja sale a la luz.",2007,118 MIN,DRAMA,SAM13,ESTÉREO
Crepúsculo la saga: Luna Nueva,"A Bella se le parte el corazón cuando la familia Cullen decide mudarse para poner fin a su relación con el vampiro Edward. Ella busca consuelo en su amigo Jacob, y comienza a preguntarse si podrían ser algo más.",2009,130 MIN,"DE AVENTURAS, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
Los juegos del hambre: Sinsajo - Parte 1,"El fenómeno mundial continúa. Katniss (Jennifer Lawrence) sobrevivió y destruyó los Juegos del Hambre, y ahora se levanta con el Distrito 13 para luchar contra el presidente Snow (Donald Sutherland).",2014,122 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
Los juegos del hambre: En llamas,"Katniss Everdeen ha regresado a casa a salvo después de ganar los 74º juegos anuales del Hambre. Siente que una rebelión se avecina, pero el Capitolio todavía está en control, ya que los Próximos juegos del Hambre están listos.",2013,146 MIN,"ACCIÓN, DE AVENTURAS",SAM13,SONIDO ENVOLVENTE 5.1
El lado oscuro del deseo,"Evan es un hombre casado cuya mujer e hijos están de viaje. Una noche lluviosa acoge a dos chicas que, aunque al principio se muestre reacio, lo seducen. Lo que todavía no sabe son los horribles planes que ellas tienen para él.",2015,99 MIN,MISTERIO/SUSPENSO,SAM16,SONIDO ENVOLVENTE 5.1
Sicario,"En el área fronteriza y anárquica que se extiende entre los Estados Unidos y México, una agente idealista del FBI es reclutada por un funcionario gubernamental élite para ayudar en la creciente guerra contra las drogas.",2015,121 MIN,"ACCIÓN, SUSPENSO",SAM16,SONIDO ENVOLVENTE 5.1
El grito 3,Un doctor (Shawnee Smith) necesita la ayuda de una misteriosa mujer japonesa para combatir a dos fantasmas vengativos.,2009,90 MIN,"DE TERROR, MISTERIO",SAM16,ESTÉREO
"¡Bu! 2 Una noche de brujas de Madea, de Tyler Perry","Cuando la hija de Brian, (Tyler Perry) se escapa a una fiesta, en un campamento embrujado, Madea, Bam Hattie y Joe comienzan toda una travesía llena de miedo y diversión para traerla de regreso a casa, haciendo reír y asustando a todos los monstruos, duendes y fanáticos de la fiesta que se interponen en su camino.",2017,100 MIN,"COMEDIA, DRAMA",SAM13,SONIDO ENVOLVENTE 5.1
Obsesión Del Pasado,Una ex novia amargada trama su venganza después de que su ex regresa a su ciudad natal con un nueva amante.,2009,95 MIN,"DRAMA, DE TERROR",SAM16,SONIDO ENVOLVENTE 5.1
Grey Lady,"Después de que su compañera policía y amante, fuera asesinada en Boston, el detective de homicidios James Doyle (Eric Dane) sigue una pista puesta en las últimas palabras de ella hasta la remota isla de Nantucket para buscar a su asesino en la solitaria temporada baja.",2017,109 MIN,MISTERIO/SUSPENSO,SAM16,SONIDO ENVOLVENTE 5.1
La cabaña,"A raíz de una tragedia personal, Mackenzie Allen Phillips recibe una nota misteriosa invitándolo a “La cabaña.” Mack acude y se ve envuelto en la catarsis de redescubrir la verdad sobre el amor, la esperanza, la pérdida y el perdón.",2017,132 MIN,DRAMA,SAM13,SONIDO ENVOLVENTE 5.1
Extraordinario,"Tanto su familia como sus compañeros de clases y la comunidad en general luchan por encontrar la compasión y la aceptación, el extraordinario viaje de Auggie los unirá y les probará que no puedes mezclarte cuando naciste para sobresalir.",2017,113 MIN,DRAMA,ATP,SONIDO ENVOLVENTE 5.1
Golpe en londres,"Un atraco a un banco sale mal y alguien es asesinado, pero las cosas pueden no ser lo que parecen.",2017,95 MIN,ACCIÓN,SAM16,ESTÉREO
Venganza letal,"Un expresidiario tiene un único deseo: vengar el asesinato de su hermano, cometido durante un robo a un banco.",2010,97 MIN,"ACCIÓN, CRIMEN",SAM16,SONIDO ENVOLVENTE 5.1
Rendirse jamás,"Un adolescente rebelde ingresa a una nueva escuela, donde se ve envuelto en la escena de la lucha clandestina. Ayudado por un especialista en artes marciales mixtas, se prepara para asumir su mayor desafío hasta ahora.",2008,113 MIN,"ACCIÓN, CRIMEN",SAM13,SONIDO ENVOLVENTE 5.1
Ali,"Basada en la vida del tan controvertido, pero indiscutiblemente electrizante boxeador, Muhammad Ali.",2001,156 MIN,"BIOGRÁFICA, DRAMA",SAM16,ESTÉREO
Llámame Por Tu Nombre,"A mediados del esplendoroso verano de 1980 en Italia, Elio y Oliver descubren el maravilloso despertar del deseo que cambiara sus vidas por siempre.",2017,131 MIN,"DRAMA, LITERARIA",SAM16,SONIDO ENVOLVENTE 5.1
